Date_Time_Hour_Beginning;Thermal_Gen_Excl_Pumping_and_SCO;Eskom_OCGT_SCO_Pumping;Eskom_Gas_SCO_Pumping;Hydro_Water_SCO_Pumping;Pumped_Water_SCO_Pumping;Thermal_Generation;Nuclear_Generation;International_Imports;Eskom_OCGT_Generation;Eskom_Gas_Generation;Dispatchable_IPP_OCGT;Hydro_Water_Generation;Pumped_Water_Generation;IOS_Excl_ILS_and_MLR;ILS_Usage;Manual_Load_Reduction_MLR;Wind;PV;CSP;Other_RE
2022-12-19 19:00:00;16396,934000000001;-3,0659999999999998;-2;0;-17;16419;918;1262;376;0;0;604;1681;320;0;4557,4949999999999;1998,0119999999999;12,069000000000001;379,42700000000002;19,821000000000002
2022-12-19 20:00:00;16099,731;-3,1989999999999998;-2;0;-13;16117,93;918;1325;127;0;0;604;1947;0;0;4671,0349999999999;1956,249;0;370,23399999999998;18,731000000000002
2022-12-19 21:00:00;15672,666999999999;-3,3330000000000002;-2;0;-18;15696;918;1333;0;0;0;603;804;0;0;3988,1909999999998;2014,98;0;355,68700000000001;18,152000000000001
2022-12-19 22:00:00;15494,464;-3,4660000000000002;-2;0;-221;15720,93;918;1323;0;0;0;602;51;0;0;3339,4569999999999;1958,4349999999999;0;100,40600000000001;16,469999999999999
2022-12-19 23:00:00;14660,666999999999;-3,3330000000000002;-2;0;-1151;15817;919;1397;0;0;0;605;0;0;0;2856,837;1873,2449999999999;0;64,841999999999999;16,341000000000001
2022-12-20 00:00:00;14444,666999999999;-3,3330000000000002;-2;0;-1316;15766;919;1418;0;0;0;606;0;0;0;2667,8359999999998;1707,9169999999999;0;31,327000000000002;40,091000000000001
2022-12-20 01:00:00;14054,534;-3,4660000000000002;-2;0;-1716;15776;919;1471;0;0;0;603;0;0;0;2825,3330000000001;1577,825;0;31,187000000000001;39,805999999999997
2022-12-20 02:00:00;14142,800999999999;-3,1989999999999998;-2;0;-1673;15821;919;1455;0;0;0;605;0;0;0;2732,0100000000002;1390,174;0;30,800000000000001;38,686
2022-12-20 03:00:00;14200,800999999999;-3,1989999999999998;-2;0;-1832;16038;919;1412;0;0;0;603;0;0;0;2734,5909999999999;1364,989;0;30,134;40,200000000000003
2022-12-20 04:00:00;14872,534;-3,4660000000000002;-2;0;-1390;16268;918;1299;0;0;0;602;0;0;0;2842,3490000000002;1281,1379999999999;0;30,658000000000001;40,427
2022-12-20 05:00:00;16180,934000000001;-3,0659999999999998;-2;0;-225;16411;918;1349;0;0;0;603;0;0;0;2510,0749999999998;1206,9369999999999;28,904;116,22199999999999;40,762999999999998
2022-12-20 06:00:00;16396,534;-3,4660000000000002;-2;0;-95;16497;918;1402;0;0;0;600;94;0;0;2813,886;1100,4739999999999;440,315;208,91200000000001;41,052
2022-12-20 07:00:00;16265,534;-3,4660000000000002;-2;0;-106;16377;919;1386;0;0;0;604;257;0;0;3921,2930000000001;1045,3800000000001;1078,5930000000001;298,05399999999997;41,780999999999999
2022-12-20 08:00:00;16052,666999999999;-3,3330000000000002;-2;0;-19;16077;919;1366;163;0;0;602;1290;0;0;3578,654;1061,3030000000001;1427,153;385,67399999999998;42,055
2022-12-20 09:00:00;15922,534;-3,4660000000000002;-2;0;-28;15956;919;1402;524;0;0;604;907;0;0;3866,7689999999998;1001,648;1696,4649999999999;396,29000000000002;41,908999999999999
2022-12-20 10:00:00;15756,896999999999;-3,3330000000000002;-2;0;-18;15780,23;919;1388;530;0;0;605;1319;0;0;3762,4589999999998;867,10599999999999;1822,028;396,69;43,405999999999999
2022-12-20 11:00:00;15597,800999999999;-3,1989999999999998;-2;0;-21;15624;919;1433;522;0;0;603;1163;0;0;4092,3330000000001;878,31500000000005;1772,038;393,71499999999997;43,981000000000002
2022-12-20 12:00:00;15560,534;-3,4660000000000002;-2;0;-27;15593;919;1429;640;0;52,232999999999997;600;904;0;0;3884,605;964,89499999999998;1746,163;431,84199999999998;43,348999999999997
2022-12-20 13:00:00;15727,916999999999;-3,3330000000000002;-2;0;-44;15777,25;919;1368;747;0;235,828;603;157;0;0;3722,2060000000001;1116,5429999999999;1818,807;466,762;43,834000000000003
2022-12-20 14:00:00;15344,933999999999;-3,0659999999999998;-2;0;-38;15388;919;1370;879;0;280,45800000000003;606;565;0;0;3665,0590000000002;1242,501;1728,452;486,14800000000002;42,579000000000001
2022-12-20 15:00:00;15006,267;-1,7330000000000001;-2;0;-38;15048;919;1376;1124;0;337,971;603;607;0;0;3981,3009999999999;1522,472;1549,4829999999999;484,50700000000001;38,084000000000003
2022-12-20 16:00:00;15255,267;-1,7330000000000001;-2;0;-35;15294;919;1393;1154;0;340,63600000000002;601;564;0;0;4146,7290000000003;1844,2539999999999;1305,8800000000001;474,26400000000001;36,682000000000002
2022-12-20 17:00:00;15137,557000000001;-1,7330000000000001;-2;0;-29;15170,290000000001;919;1396;1207;0;341,197;604;879;0;0;4097,6549999999997;2014,3689999999999;937,58000000000004;468,26400000000001;42,109000000000002
2022-12-20 18:00:00;15071,534;-1,466;-2;0;-20;15095;919;1355;1190;0;343,18299999999999;604;1388;301;0;3833,444;2112,5949999999998;348,91300000000001;432,64600000000002;43,286999999999999
2022-12-20 19:00:00;15197,267;-1,7330000000000001;-2;0;-11;15212;919;1290;1214;0;344,27600000000001;605;1851;301;372,5;4491,116;2090,1999999999998;18,536000000000001;338,16000000000003;44,162999999999997
2022-12-20 20:00:00;15212,267;-1,7330000000000001;-2;0;-34;15250;919;1320;1206;0;347,05900000000003;602;624;0;74,5;4477,2169999999996;1922,519;0;330,76499999999999;44,081000000000003
2022-12-20 21:00:00;15096,601000000001;-2,399;-2;0;-136;15237;919;1279;862;0;313,68799999999999;600;0;0;0;4157,4859999999999;1726,1030000000001;0;308,83800000000002;43,796999999999997
2022-12-20 22:00:00;15090,493999999999;-3,4660000000000002;-2;0;-345;15440,959999999999;919;1259;563;0;7,6820000000000004;605;21;-31,667000000000002;0;3618,6529999999998;1545,0719999999999;0;47,600999999999999;40,317
2022-12-20 23:00:00;14265,534;-3,4660000000000002;-2;0;-976;15247;919;1318;570;0;0;603;0;-38,332999999999998;0;3067,424;1400,4970000000001;0;33,848999999999997;20,204000000000001
